;Camas Instaladas*;Quirófanos;Consultas Externas;Puestos  Hospital de Día;Puestos  Heomodiálisis;Paritorios
Complejo Asistencial de Ávila ;430;8;111;32;13;2
Complejo Asistencial Universitario de Burgos ;865;24;197;83;36;8
Hospital Santiago Apóstol-Miranda de Ebro -Burgos;114;3;45;16;9;2
Hospital Santos ReyesAranda de Duero -Burgos;123;3;25;7;0;1
Complejo Asistencial Universitario de León ;1056;21;91;20;13;2
Hospital El Bierzo;408;11;55;19;13;3
Complejo Asistencial Universitario de Palencia ;495;12;106;47;16;2
Complejo Asistencial Universitario de Salamanca ;907;26;263;46;40;3
Complejo Asistencial de Segovia ;375;10;102;58;15;2
Complejo Asistencial de Soria ;325;8;65;20;23;4
Hospital Universitario Río Hortega de Valladolid ;646;17;125;74;19;6
Hospital Clínico Universitario de Valladolid ;777;17;145;64;16;2
Hospital Medina del Campo-Valladolid;119;4;27;2;0;2
Complejo Asistencial de Zamora ;600;15;94;53;18;6
Castilla y León ;7.240;179;1.451;541;231;45
