Año;Periodo;Deuda pública en miles de euros
2008;Año;25.353
2009;Año;31.439
2010;Año;30.952
2011;Año;29.835
2012;Año;45.492
2013;Año;55.513
2014;Año;51.749
2015;Año;49.141
2016;Año;43.629
2017;Año;39.074
2018;Año;35.231
2019;Año;30.978,66
2020;Año;22.030,96
2021;Año;23.947
;;
;;
"Métrica:""Deuda pública en miles de euros""";;
"Fuente:""Ministerio de Hacienda""";;
"Clasificación:""""";;
"Unidad:""Euros""";;
"Escala:""Miles""";;
"EscalaFactorPotencia10:""3""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/deuda-publica-municipio/260edf09-ade2-416d-ab5a-251685567edb/ecija/2898""";;
"Titulo:""Deuda pública en Écija﻿ """;;
"Subtitulo:""""";;
